Hash;Timestamp;Branching Time;Merge Time;Committers 1;Committers 2;Diff Committers;Same Committers;Commits 1;Commits 2;Changed Files 1;Changed Files 2;Changed Files Intersection;Conflict;Conflicted Files;Chunks;Modified Chunks;Self Conflicts
68ed28b8786d8c398c99e7b67b352db2e04c45a1;2017-08-03 12:20:11 +0200;0.7925000;1.0638657;1;1;1;0;2;1;1;1;NONE;false;0;0;0;0
05d959d4d7c5f09ef3f955bfc6d5c928b73fff3a;2017-08-03 12:08:09 +0200;6.8956250;9.6769676;3;1;2;1;24;1;34;1;NONE;false;0;0;0;0
c19dce2ab2149d97422893b472a1597a5d1cdf7a;2017-08-01 15:27:45 +0200;4.9225347;5.2329051;3;1;2;1;15;1;28;2;NONE;false;0;0;0;0
7869b43c83e033f2f9ebfb247100b283e65105d5;2017-07-31 18:19:35 +0200;4.2529514;4.3522338;2;1;1;1;10;1;24;1;NONE;false;0;0;0;0
e48fe2cf57c46f18783fc0eb67b8657a195074a9;2017-07-31 18:13:30 +0200;2.7447569;6.9306829;2;1;1;1;12;1;22;5;NONE;false;0;0;0;0
2dcbfac237aed48dd0d4dbeb58372be0ad59c4eb;2017-07-29 11:52:08 +0200;2.1523727;4.6658449;1;1;1;0;8;3;11;11;NONE;false;0;0;0;0
66c20c15fd0f125870159c6110f77ee85a1673ca;2017-07-27 15:53:15 +0200;0.6615856;2.8332870;1;1;0;1;4;1;3;2;NONE;false;0;0;0;0
2335fe7b83ae02b646e703901394dc68d91ac96e;2017-07-27 09:52:22 +0200;0.6063426;2.5826736;1;1;0;1;2;1;1;2;NONE;false;0;0;0;0
a579673c1e8a61409e40bcfa02fbef53ac269fc0;2017-07-24 15:00:40 +0200;3.2032060;3.9617593;2;1;1;1;4;4;6;9;SOME;false;0;0;0;0
77fbe8c539ab3abcd6c58d2c7efc83cc9125941c;2017-07-21 09:50:54 +0200;1.9535532;4.8987847;1;1;1;0;4;1;6;1;NONE;false;0;0;0;0
617c49fbc2b857f6f3731f550bf7e223261dd8da;2017-07-13 18:08:11 +0200;16.0618171;17.9206134;3;1;2;1;73;2;100;8;NONE;false;0;0;0;0
75b292e720a9f7b78a577af122d35b478830f78a;2017-07-13 10:09:58 +0200;26.8157407;30.9379051;3;1;2;1;76;1;102;1;NONE;false;0;0;0;0
f6ac6c64b882053ba4a990e955398d9a193fa2f7;2017-07-04 09:07:12 +0200;12.5935764;18.4262153;2;1;2;0;5;55;4;91;NONE;false;0;0;0;0
dc3508c4d819c8626dc470179017ec2378622cb2;2017-06-07 14:46:37 +0200;8.1542824;15.9494444;2;1;2;0;9;1;15;1;NONE;false;0;0;0;0
434379d55967bad8cd7ce0a6fab95f8e0bdefa6c;2017-06-06 14:58:49 +0200;2.3464120;4.7577083;1;1;1;0;1;1;0;4;ALL;false;0;0;0;0
6631c20317fb8e54a45df2dd460dc6e43158700e;2017-05-18 15:40:03 +0200;8.0067130;8.1690394;5;1;4;1;24;3;30;3;NONE;false;0;0;0;0
567eb4c47fc5d477af57f6a91b1147a192dd09f0;2017-05-18 09:15:13 +0200;43.9128241;43.9164005;14;1;13;1;109;1;140;3;NONE;false;0;0;0;0
ea61b5b3772de0238d34a53565cf202d07e38c16;2017-05-18 09:14:24 +0200;2.9603356;2.9776505;4;1;4;0;16;4;19;8;NONE;false;0;0;0;0
c6d84d3a7f1a5bd8efad834b8c3f8e0c3853bc53;2017-05-17 22:41:49 +0200;6.9915741;7.4619329;2;2;2;0;4;10;7;12;SOME;false;0;0;0;0
f5135adcff9b0620c5e25658853737b88a940b5e;2017-05-15 09:55:40 +0200;7.8299537;8.0272338;1;4;3;1;1;14;6;8;NONE;false;0;0;0;0
d9a38f3f3192ea37f6c128a9a47ce9471c50575e;2017-05-10 11:40:17 +0200;0.0453241;1.1252315;2;1;2;0;6;3;11;2;ALL;true;1;1;1;1
aa86d0f721b01be30cd8f817fea1e5f2249bdd58;2017-05-10 11:35:19 +0200;275.5758218;277.0535417;36;1;36;0;484;1;481;2;ALL;true;2;4;4;0
cad24542169452a2b0a69ff0122bbf934aa94c84;2017-05-10 10:31:22 +0200;1.7836806;3.0520255;1;3;3;0;4;10;7;7;SOME;true;1;1;1;0
1ff48fe8a82b5b5e2c33f7ca6b7aa2d2b7c8fe2d;2017-05-09 08:39:57 +0200;4.7064468;5.8467130;5;1;4;1;16;1;19;2;NONE;false;0;0;0;0
86ee5970ae61f0ab9776184a549477e689cf0bf2;2017-05-09 08:38:12 +0200;1.7823495;1.9734375;2;1;2;0;5;2;3;2;NONE;false;0;0;0;0
18a1626670065be1d4f7b8c45da02f6bb8985872;2017-05-09 08:38:02 +0200;4.7062037;5.8453819;3;1;3;0;11;1;16;1;NONE;false;0;0;0;0
0312239657c806d67b3771517ae3209e87058c49;2017-05-09 08:37:51 +0200;8.1800000;11.3956481;4;1;4;0;14;2;17;2;NONE;false;0;0;0;0
16679f1d56664cf4e94240fa3ba84aaf365cd6c9;2017-05-07 09:16:27 +0200;7.8974306;9.4224537;3;1;3;0;7;6;10;8;SOME;false;0;0;0;0
b40da798d2e2ea70e0ab2cb3930b39ea071cc0b2;2017-05-03 12:20:41 +0200;5.8911343;6.0682292;6;1;6;0;16;1;19;1;NONE;false;0;0;0;0
dbcc61979534d2fba442cc3b2a7eb6166ab1c477;2017-05-03 11:35:13 +0200;0.1052199;5.5188194;1;1;0;1;2;1;1;2;NONE;false;0;0;0;0
af9e4d8fa07c45eb7fa6fdcd8eccf035cf9917c1;2017-04-27 14:20:35 +0200;34.0349306;34.4997222;10;1;10;0;89;2;120;3;NONE;false;0;0;0;0
